,index,nifti_name,sub,ses,run,task,ev,num,onset,dur,mod,regressor,cue_type,stim_type,expect_rating,actual_rating,cue_con,stim_lin,stim_quad
0,0,sub-0071_ses-01_run-01-cognitive_ev-cue-0000,71,1,1,cognitive,cue,0,5.694180011749268,1,1,True,high_cue,high_stim,48.270487923183566,49.39870535499554,1,1,1
1,1,sub-0071_ses-01_run-01-cognitive_ev-cue-0001,71,1,1,cognitive,cue,1,32.304100036621094,1,1,True,low_cue,high_stim,20.772254682045837,29.345216173294855,-1,1,1
2,2,sub-0071_ses-01_run-01-cognitive_ev-cue-0002,71,1,1,cognitive,cue,2,63.09891986846924,1,1,True,low_cue,high_stim,17.40930274695685,21.665958723290224,-1,1,1
3,3,sub-0071_ses-01_run-01-cognitive_ev-cue-0003,71,1,1,cognitive,cue,3,95.09417986869812,1,1,True,high_cue,high_stim,32.22453301724047,25.002826260235597,1,1,1
4,4,sub-0071_ses-01_run-01-cognitive_ev-cue-0004,71,1,1,cognitive,cue,4,120.20354986190796,1,1,True,low_cue,low_stim,26.46218633335396,16.765202508210354,-1,-1,1
5,5,sub-0071_ses-01_run-01-cognitive_ev-cue-0005,71,1,1,cognitive,cue,5,159.90167999267578,1,1,True,high_cue,low_stim,21.104838584929634,21.20281864380967,1,-1,1
6,6,sub-0071_ses-01_run-01-cognitive_ev-cue-0006,71,1,1,cognitive,cue,6,219.3071699142456,1,1,True,low_cue,med_stim,31.08172983037792,28.720326797869483,-1,0,-2
7,7,sub-0071_ses-01_run-01-cognitive_ev-cue-0007,71,1,1,cognitive,cue,7,252.50287985801697,1,1,True,high_cue,med_stim,38.550465296157725,10.676355682695798,1,0,-2
8,8,sub-0071_ses-01_run-01-cognitive_ev-cue-0008,71,1,1,cognitive,cue,8,283.89791989326477,1,1,True,high_cue,med_stim,47.12109639666145,14.147605387001688,1,0,-2
9,9,sub-0071_ses-01_run-01-cognitive_ev-cue-0009,71,1,1,cognitive,cue,9,311.89170002937317,1,1,True,low_cue,med_stim,23.379523952776623,18.28915835000279,-1,0,-2
10,10,sub-0071_ses-01_run-01-cognitive_ev-cue-0010,71,1,1,cognitive,cue,10,341.30267000198364,1,1,True,high_cue,low_stim,39.894909553407714,33.05276589540051,1,-1,1
