onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	onset_ttl1	onset_ttl2	onset_ttl3	onset_ttl4	stimulus_delivery_success
11.29	1.0	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h037.png	n/a	n/a	n/a	n/a	n/a
44.29	1.0	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l044.png	n/a	n/a	n/a	n/a	n/a
80.7	1.0	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h049.png	n/a	n/a	n/a	n/a	n/a
105.59	1.0	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l035.png	n/a	n/a	n/a	n/a	n/a
133.79	1.0	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h009.png	n/a	n/a	n/a	n/a	n/a
169.5	1.0	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h054.png	n/a	n/a	n/a	n/a	n/a
204.4	1.0	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l022.png	n/a	n/a	n/a	n/a	n/a
234.29	1.0	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h016.png	n/a	n/a	n/a	n/a	n/a
266.69	1.0	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l056.png	n/a	n/a	n/a	n/a	n/a
294.8	1.0	cue	10	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h004.png	n/a	n/a	n/a	n/a	n/a
327.09	1.0	cue	11	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l047.png	n/a	n/a	n/a	n/a	n/a
366.49	1.0	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l015.png	n/a	n/a	n/a	n/a	n/a
14.21	1.47	expectrating	1	high_cue	n/a	48.29	Strong	48.29	Strong	0.37	1.1	h037.png	n/a	n/a	n/a	n/a	n/a
47.21	1.43	expectrating	2	low_cue	n/a	6.16	Weak	6.16	Weak	0.55	0.88	l044.png	n/a	n/a	n/a	n/a	n/a
83.7	1.13	expectrating	3	high_cue	n/a	63.77	Strong	63.77	Strong	0.42	0.72	h049.png	n/a	n/a	n/a	n/a	n/a
107.39	0.99	expectrating	4	low_cue	n/a	9.12	Weak	9.12	Weak	0.37	0.62	l035.png	n/a	n/a	n/a	n/a	n/a
135.6	2.3	expectrating	5	high_cue	n/a	18.21	Moderate	18.21	Moderate	0.68	1.62	h009.png	n/a	n/a	n/a	n/a	n/a
172.4	2.0	expectrating	6	high_cue	n/a	54.33	Strong	54.33	Strong	0.7	1.3	h054.png	n/a	n/a	n/a	n/a	n/a
207.3	1.45	expectrating	7	low_cue	n/a	15.66	Moderate	15.66	Moderate	0.5	0.95	l022.png	n/a	n/a	n/a	n/a	n/a
236.19	2.19	expectrating	8	high_cue	n/a	35.73	Strong	35.73	Strong	1.25	0.94	h016.png	n/a	n/a	n/a	n/a	n/a
268.5	0.97	expectrating	9	low_cue	n/a	0.0		0.0		0.18	0.78	l056.png	n/a	n/a	n/a	n/a	n/a
297.3	1.52	expectrating	10	high_cue	n/a	49.12	Strong	49.12	Strong	0.05	1.47	h004.png	n/a	n/a	n/a	n/a	n/a
329.99	1.22	expectrating	11	low_cue	n/a	1.16	Barely detectable	1.16	Barely detectable	0.05	1.17	l047.png	n/a	n/a	n/a	n/a	n/a
369.39	2.57	expectrating	12	low_cue	n/a	9.5	Weak	9.5	Weak	0.08	2.49	l015.png	n/a	n/a	n/a	n/a	n/a
19.33	11.92	stimulus	1	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	50c	19.36	23.12	28.12	31.29	success
