onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	onset_ttl1	onset_ttl2	onset_ttl3	onset_ttl4	stimulus_delivery_success
5.41	0.98	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h006.png	n/a	n/a	n/a	n/a	n/a
35.1	1.0	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h004.png	n/a	n/a	n/a	n/a	n/a
68.7	1.0	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h012.png	n/a	n/a	n/a	n/a	n/a
96.61	0.98	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l013.png	n/a	n/a	n/a	n/a	n/a
124.0	1.0	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h024.png	n/a	n/a	n/a	n/a	n/a
167.3	1.0	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h020.png	n/a	n/a	n/a	n/a	n/a
203.3	1.0	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l036.png	n/a	n/a	n/a	n/a	n/a
238.69	1.0	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l016.png	n/a	n/a	n/a	n/a	n/a
276.89	1.0	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l002.png	n/a	n/a	n/a	n/a	n/a
312.3	1.0	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l028.png	n/a	n/a	n/a	n/a	n/a
347.4	1.0	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h041.png	n/a	n/a	n/a	n/a	n/a
373.19	1.0	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l038.png	n/a	n/a	n/a	n/a	n/a
8.22		expectrating	1	high_cue	n/a			54.14	Strong	0.68	3.55	h006.png	n/a	n/a	n/a	n/a	n/a
37.5	3.07	expectrating	2	high_cue	n/a	60.45	Strong	60.45	Strong	0.65	2.42	h004.png	n/a	n/a	n/a	n/a	n/a
71.1		expectrating	3	high_cue	n/a			73.02	Very Strong	0.4	3.95	h012.png	n/a	n/a	n/a	n/a	n/a
98.11		expectrating	4	low_cue	n/a			63.64	Strong	0.75	3.83	l013.png	n/a	n/a	n/a	n/a	n/a
126.8	3.72	expectrating	5	high_cue	n/a	65.9	Very Strong	65.9	Very Strong	1.12	2.61	h024.png	n/a	n/a	n/a	n/a	n/a
170.1	3.56	expectrating	6	high_cue	n/a	65.5	Very Strong	65.5	Very Strong	0.55	3.01	h020.png	n/a	n/a	n/a	n/a	n/a
205.2	2.97	expectrating	7	low_cue	n/a	66.83	Very Strong	66.83	Very Strong	0.25	2.72	l036.png	n/a	n/a	n/a	n/a	n/a
241.9	3.05	expectrating	8	low_cue	n/a	65.5	Very Strong	65.5	Very Strong	0.48	2.57	l016.png	n/a	n/a	n/a	n/a	n/a
280.11	3.85	expectrating	9	low_cue	n/a	66.62	Very Strong	66.62	Very Strong	0.37	3.49	l002.png	n/a	n/a	n/a	n/a	n/a
315.11	2.97	expectrating	10	low_cue	n/a	68.16	Very Strong	68.16	Very Strong	0.55	2.42	l028.png	n/a	n/a	n/a	n/a	n/a
