,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,53,3,pain,6,high_cue,low_stim,4,1,0,low_stim,0.07256120236651172
1,53,3,pain,6,low_cue,med_stim,2,2,1,med_stim,0.21318719536253627
2,53,3,pain,6,high_cue,low_stim,4,3,2,low_stim,0.4199176268789299
3,53,3,pain,6,low_cue,med_stim,2,4,3,med_stim,0.5159705516030336
4,53,3,pain,6,high_cue,high_stim,6,5,4,high_stim,0.5942683952010965
5,53,3,pain,6,low_cue,low_stim,1,6,5,low_stim,0.6721498200625208
6,53,3,pain,6,low_cue,high_stim,3,7,6,high_stim,-1.5243346732285177
7,53,3,pain,6,low_cue,low_stim,1,8,7,low_stim,-1.552474460648361
8,53,3,pain,6,high_cue,high_stim,6,9,8,high_stim,-1.6046301491569521
9,53,3,pain,6,low_cue,high_stim,3,10,9,high_stim,0.824829785317947
10,53,3,pain,6,high_cue,med_stim,5,11,10,med_stim,1.0823882515970724
11,53,3,pain,6,high_cue,med_stim,5,12,11,med_stim,0.920018493386189
