,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_order,iv_stim,mean_signal
0,34,1,vicarious,1,high_cue,low_stim,4,0,low_stim,-0.2849873155518866
1,34,1,vicarious,1,low_cue,med_stim,2,1,med_stim,-0.32131581941303833
2,34,1,vicarious,1,high_cue,high_stim,6,2,high_stim,-0.3489144562739872
3,34,1,vicarious,1,low_cue,high_stim,3,3,high_stim,-0.37212959128490974
4,34,1,vicarious,1,high_cue,low_stim,4,4,low_stim,-0.4158287331494117
5,34,1,vicarious,1,high_cue,med_stim,5,5,med_stim,1.724759666701285
6,34,1,vicarious,1,low_cue,high_stim,3,6,high_stim,2.5321021569019555
7,34,1,vicarious,1,high_cue,med_stim,5,7,med_stim,-0.22464353919778227
8,34,1,vicarious,1,low_cue,low_stim,1,8,low_stim,-0.4932961888472534
9,34,1,vicarious,1,low_cue,low_stim,1,9,low_stim,-0.516765826424374
10,34,1,vicarious,1,high_cue,high_stim,6,10,high_stim,-0.5437653765280085
11,34,1,vicarious,1,low_cue,med_stim,2,11,med_stim,-0.5517603308084882
