,index,nifti_name,sub,ses,run,task,ev,num,onset,dur,mod,regressor,cue_type,stim_type,expect_rating,actual_rating,cue_con,stim_lin,stim_quad
0,0,sub-0006_ses-01_run-01-vicarious_ev-cue-0000,6,1,1,vicarious,cue,0,5.7058000564575195,1,1,True,low_cue,med_stim,66.31791227546155,16.765202508210354,-1,0,-2
1,1,sub-0006_ses-01_run-01-vicarious_ev-cue-0001,6,1,1,vicarious,cue,1,33.39946007728577,1,1,True,low_cue,low_stim,66.31791227546155,16.765202508210354,-1,0,-2
2,2,sub-0006_ses-01_run-01-vicarious_ev-cue-0002,6,1,1,vicarious,cue,2,71.09684991836548,1,1,True,low_cue,high_stim,50.54846629371807,11.3099324740202,-1,-1,1
3,3,sub-0006_ses-01_run-01-vicarious_ev-cue-0003,6,1,1,vicarious,cue,3,100.70790004730225,1,1,True,high_cue,low_stim,50.54846629371807,11.3099324740202,-1,-1,1
4,4,sub-0006_ses-01_run-01-vicarious_ev-cue-0004,6,1,1,vicarious,cue,4,135.80431985855103,1,1,True,high_cue,med_stim,63.02349607893028,27.181111085477223,-1,1,1
5,5,sub-0006_ses-01_run-01-vicarious_ev-cue-0005,6,1,1,vicarious,cue,5,170.60063004493713,1,1,True,high_cue,high_stim,63.02349607893028,27.181111085477223,-1,1,1
6,6,sub-0006_ses-01_run-01-vicarious_ev-cue-0006,6,1,1,vicarious,cue,6,196.91043996810913,1,1,True,high_cue,low_stim,47.92734799174088,6.213375265278378,1,-1,1
7,7,sub-0006_ses-01_run-01-vicarious_ev-cue-0007,6,1,1,vicarious,cue,7,237.00872993469238,1,1,True,low_cue,high_stim,47.92734799174088,6.213375265278378,1,-1,1
8,8,sub-0006_ses-01_run-01-vicarious_ev-cue-0008,6,1,1,vicarious,cue,8,268.3037300109863,1,1,True,high_cue,high_stim,53.03761530048566,51.41460180733972,1,0,-2
9,9,sub-0006_ses-01_run-01-vicarious_ev-cue-0009,6,1,1,vicarious,cue,9,301.8995900154114,1,1,True,low_cue,med_stim,53.03761530048566,51.41460180733972,1,0,-2
10,10,sub-0006_ses-01_run-01-vicarious_ev-cue-0010,6,1,1,vicarious,cue,10,333.9115300178528,1,1,True,high_cue,med_stim,85.15988751115297,125.80641775138692,1,1,1
11,11,sub-0006_ses-01_run-01-vicarious_ev-cue-0011,6,1,1,vicarious,cue,11,372.5092599391937,1,1,True,low_cue,low_stim,85.15988751115297,125.80641775138692,1,1,1
12,12,sub-0006_ses-01_run-01-vicarious_ev-stim-0000,6,1,1,vicarious,stim,0,17.69479990005493,5,1,True,low_cue,med_stim,55.275358164878135,33.11134196037203,1,-1,1
13,13,sub-0006_ses-01_run-01-vicarious_ev-stim-0001,6,1,1,vicarious,stim,1,48.494889974594116,5,1,True,low_cue,low_stim,55.275358164878135,33.11134196037203,1,-1,1
14,14,sub-0006_ses-01_run-01-vicarious_ev-stim-0002,6,1,1,vicarious,stim,2,86.19470000267029,5,1,True,low_cue,high_stim,69.0944306630845,36.9662739712862,-1,1,1
15,15,sub-0006_ses-01_run-01-vicarious_ev-stim-0003,6,1,1,vicarious,stim,3,116.79485988616943,5,1,True,high_cue,low_stim,69.0944306630845,36.9662739712862,-1,1,1
16,16,sub-0006_ses-01_run-01-vicarious_ev-stim-0004,6,1,1,vicarious,stim,4,151.7990698814392,5,1,True,high_cue,med_stim,66.06135446121277,12.303923554059908,1,1,1
17,17,sub-0006_ses-01_run-01-vicarious_ev-stim-0005,6,1,1,vicarious,stim,5,182.9942798614502,5,1,True,high_cue,high_stim,66.06135446121277,12.303923554059908,1,1,1
18,18,sub-0006_ses-01_run-01-vicarious_ev-stim-0006,6,1,1,vicarious,stim,6,214.19395995140076,5,1,True,high_cue,low_stim,38.06338706982606,90.69869438298348,-1,0,-2
19,19,sub-0006_ses-01_run-01-vicarious_ev-stim-0007,6,1,1,vicarious,stim,7,253.29391980171204,5,1,True,low_cue,high_stim,38.06338706982606,90.69869438298348,-1,0,-2
20,20,sub-0006_ses-01_run-01-vicarious_ev-stim-0008,6,1,1,vicarious,stim,8,281.19441986083984,5,1,True,high_cue,high_stim,30.52456403693857,2.086777275570763,1,0,-2
21,21,sub-0006_ses-01_run-01-vicarious_ev-stim-0009,6,1,1,vicarious,stim,9,318.49423003196716,5,1,True,low_cue,med_stim,30.52456403693857,2.086777275570763,1,0,-2
22,22,sub-0006_ses-01_run-01-vicarious_ev-stim-0010,6,1,1,vicarious,stim,10,351.194109916687,5,1,True,high_cue,med_stim,80.95533346558936,12.078653710512825,-1,-1,1
23,23,sub-0006_ses-01_run-01-vicarious_ev-stim-0011,6,1,1,vicarious,stim,11,385.39462995529175,5,1,True,low_cue,low_stim,80.95533346558936,12.078653710512825,-1,-1,1
24,24,sub-0006_ses-01_run-01-vicarious_ev-rating-0nan,6,1,1,vicarious,rating,,"[-1614783438.6590102, -1614783418.48482, -1614783410.6819, -1614783390.9912302, -1614783372.98451, -1614783353.07709, -1614783342.88996, -1614783321.68205, -1614783308.89395, -1614783286.68567, -1614783273.9976, -1614783255.4907, -1614783246.48734, -1614783215.39241, -1614783206.68917, -1614783187.08185, -1614783175.0940502, -1614783150.68495, -1614783142.19845, -1614783118.68968, -1614783109.4862502, -1614783084.77704, -1614783070.88852, -1614783051.68136]","[2.63769102096558, 3.96838307380676, 3.58524799346924, 4.0, 1.98919677734375, 1.9008553028106696, 3.15127778053284, 3.534930467605589, 1.9560215473175, 2.81797695159912, 1.31726574897766, 2.50125813484192, 2.68483829498291, 2.22003889083862, 1.82291793823242, 2.55105662345886, 2.85122013092041, 2.9360249042511, 2.3043389320373504, 2.7845227718353303, 3.36810207366943, 3.0349748134613, 2.07236742973328, 2.5677752494812003]",1,False,,,,,,,
25,25,csf,6,1,1,vicarious,,,,,,False,,,,,,,
26,26,white_matter,6,1,1,vicarious,,,,,,False,,,,,,,
27,27,trans_x,6,1,1,vicarious,,,,,,False,,,,,,,
28,28,trans_y,6,1,1,vicarious,,,,,,False,,,,,,,
29,29,trans_z,6,1,1,vicarious,,,,,,False,,,,,,,
30,30,rot_x,6,1,1,vicarious,,,,,,False,,,,,,,
31,31,rot_y,6,1,1,vicarious,,,,,,False,,,,,,,
32,32,rot_z,6,1,1,vicarious,,,,,,False,,,,,,,
33,33,dummy,6,1,1,vicarious,,,,,,False,,,,,,,
34,0,sub-0006_ses-01_run-02-pain_ev-cue-0000,6,1,2,pain,cue,0,5.484519958496094,1,1,True,low_cue,med_stim,66.31791227546155,16.765202508210354,-1,0,-2
35,1,sub-0006_ses-01_run-02-pain_ev-cue-0001,6,1,2,pain,cue,1,33.79508018493652,1,1,True,low_cue,low_stim,66.31791227546155,16.765202508210354,-1,0,-2
36,2,sub-0006_ses-01_run-02-pain_ev-cue-0002,6,1,2,pain,cue,2,74.19348001480103,1,1,True,low_cue,high_stim,50.54846629371807,66.4368601352252,-1,-1,1
37,3,sub-0006_ses-01_run-02-pain_ev-cue-0003,6,1,2,pain,cue,3,103.78784990310669,1,1,True,high_cue,low_stim,50.54846629371807,66.4368601352252,-1,-1,1
38,4,sub-0006_ses-01_run-02-pain_ev-cue-0004,6,1,2,pain,cue,4,138.28403997421265,1,1,True,high_cue,med_stim,63.02349607893028,27.181111085477223,-1,1,1
39,5,sub-0006_ses-01_run-02-pain_ev-cue-0005,6,1,2,pain,cue,5,178.08221983909607,1,1,True,high_cue,high_stim,63.02349607893028,27.181111085477223,-1,1,1
40,6,sub-0006_ses-01_run-02-pain_ev-cue-0006,6,1,2,pain,cue,6,206.69288992881775,1,1,True,high_cue,low_stim,47.92734799174088,6.213375265278378,1,-1,1
41,7,sub-0006_ses-01_run-02-pain_ev-cue-0007,6,1,2,pain,cue,7,241.9893798828125,1,1,True,low_cue,high_stim,47.92734799174088,6.213375265278378,1,-1,1
42,8,sub-0006_ses-01_run-02-pain_ev-cue-0008,6,1,2,pain,cue,8,270.7834599018097,1,1,True,high_cue,high_stim,53.03761530048566,51.41460180733972,1,0,-2
43,9,sub-0006_ses-01_run-02-pain_ev-cue-0009,6,1,2,pain,cue,9,306.48009991645813,1,1,True,low_cue,med_stim,53.03761530048566,51.41460180733972,1,0,-2
44,10,sub-0006_ses-01_run-02-pain_ev-cue-0010,6,1,2,pain,cue,10,333.49017000198364,1,1,True,high_cue,med_stim,85.15988751115297,125.80641775138692,1,1,1
45,11,sub-0006_ses-01_run-02-pain_ev-cue-0011,6,1,2,pain,cue,11,372.0878999233246,1,1,True,low_cue,low_stim,85.15988751115297,125.80641775138692,1,1,1
46,12,sub-0006_ses-01_run-02-pain_ev-stim-0000,6,1,2,pain,stim,0,18.249799966812134,5,1,True,low_cue,med_stim,55.275358164878135,33.11134196037203,1,-1,1
47,13,sub-0006_ses-01_run-02-pain_ev-stim-0001,6,1,2,pain,stim,1,49.64874005317688,5,1,True,low_cue,low_stim,55.275358164878135,33.11134196037203,1,-1,1
48,14,sub-0006_ses-01_run-02-pain_ev-stim-0002,6,1,2,pain,stim,2,87.3143401145935,5,1,True,low_cue,high_stim,69.0944306630845,36.9662739712862,-1,1,1
49,15,sub-0006_ses-01_run-02-pain_ev-stim-0003,6,1,2,pain,stim,3,115.24254989624023,5,1,True,high_cue,low_stim,69.0944306630845,36.9662739712862,-1,1,1
50,16,sub-0006_ses-01_run-02-pain_ev-stim-0004,6,1,2,pain,stim,4,155.02665996551514,5,1,True,high_cue,med_stim,66.06135446121277,12.303923554059908,1,1,1
51,17,sub-0006_ses-01_run-02-pain_ev-stim-0005,6,1,2,pain,stim,5,188.5367500782013,5,1,True,high_cue,high_stim,66.06135446121277,12.303923554059908,1,1,1
52,18,sub-0006_ses-01_run-02-pain_ev-stim-0006,6,1,2,pain,stim,6,219.31785011291504,5,1,True,high_cue,low_stim,38.06338706982606,90.69869438298348,-1,0,-2
53,19,sub-0006_ses-01_run-02-pain_ev-stim-0007,6,1,2,pain,stim,7,253.62251996994019,5,1,True,low_cue,high_stim,38.06338706982606,90.69869438298348,-1,0,-2
54,20,sub-0006_ses-01_run-02-pain_ev-stim-0008,6,1,2,pain,stim,8,281.7116301059723,5,1,True,high_cue,high_stim,30.52456403693857,2.086777275570763,1,0,-2
55,21,sub-0006_ses-01_run-02-pain_ev-stim-0009,6,1,2,pain,stim,9,318.4187698364258,5,1,True,low_cue,med_stim,30.52456403693857,2.086777275570763,1,0,-2
56,22,sub-0006_ses-01_run-02-pain_ev-stim-0010,6,1,2,pain,stim,10,348.82189989089966,5,1,True,high_cue,med_stim,80.95533346558936,12.078653710512825,-1,-1,1
57,23,sub-0006_ses-01_run-02-pain_ev-stim-0011,6,1,2,pain,stim,11,385.7228500843048,5,1,True,low_cue,low_stim,80.95533346558936,12.078653710512825,-1,-1,1
58,24,sub-0006_ses-01_run-02-pain_ev-rating-0nan,6,1,2,pain,rating,,"[-1614783889.16941, -1614783868.5784, -1614783860.57541, -1614783838.18373, -1614783820.17701, -1614783800.28626, -1614783790.08246, -1614783769.2747002, -1614783756.67, -1614783729.4765198, -1614783716.78846, -1614783695.9806998, -1614783686.97734, -1614783660.88428, -1614783651.98096, -1614783635.07465, -1614783622.88678, -1614783596.17681, -1614783587.87372, -1614783569.38349, -1614783560.18006, -1614783535.48752, -1614783521.58233, -1614783501.97502]","[1.8198082447052, 2.3677332401275604, 2.01753568649292, 2.13435626029968, 1.5037658214569098, 1.7055401802063, 3.45160984992981, 2.16774487495422, 2.8205215930938703, 2.35749483108521, 2.73452663421631, 1.20069718360901, 1.6842551231384295, 1.9175946712493896, 2.3534324169158904, 2.31775879859924, 2.61031746864319, 1.90089678764343, 2.18475079536438, 2.01766157150269, 2.90119600296021, 1.91752505302429, 3.171305656433109, 2.51773858070374]",1,False,,,,,,,
59,25,csf,6,1,2,pain,,,,,,False,,,,,,,
60,26,white_matter,6,1,2,pain,,,,,,False,,,,,,,
61,27,trans_x,6,1,2,pain,,,,,,False,,,,,,,
62,28,trans_y,6,1,2,pain,,,,,,False,,,,,,,
63,29,trans_z,6,1,2,pain,,,,,,False,,,,,,,
64,30,rot_x,6,1,2,pain,,,,,,False,,,,,,,
65,31,rot_y,6,1,2,pain,,,,,,False,,,,,,,
66,32,rot_z,6,1,2,pain,,,,,,False,,,,,,,
67,33,dummy,6,1,2,pain,,,,,,False,,,,,,,
68,0,sub-0006_ses-01_run-03-cognitive_ev-cue-0000,6,1,3,cognitive,cue,0,14.195749998092651,1,1,True,low_cue,low_stim,57.165029870286936,32.005383208083494,-1,-1,1
69,1,sub-0006_ses-01_run-03-cognitive_ev-cue-0001,6,1,3,cognitive,cue,1,40.58891987800598,1,1,True,low_cue,med_stim,57.165029870286936,32.005383208083494,-1,-1,1
70,2,sub-0006_ses-01_run-03-cognitive_ev-cue-0002,6,1,3,cognitive,cue,2,72.2007098197937,1,1,True,high_cue,med_stim,45.16231055593669,101.6047623563788,-1,0,-2
71,3,sub-0006_ses-01_run-03-cognitive_ev-cue-0003,6,1,3,cognitive,cue,3,108.99776983261108,1,1,True,low_cue,high_stim,45.16231055593669,101.6047623563788,-1,0,-2
72,4,sub-0006_ses-01_run-03-cognitive_ev-cue-0004,6,1,3,cognitive,cue,4,145.0945599079132,1,1,True,high_cue,med_stim,103.20108717570557,92.591866705235,1,0,-2
73,5,sub-0006_ses-01_run-03-cognitive_ev-cue-0005,6,1,3,cognitive,cue,5,171.387699842453,1,1,True,low_cue,high_stim,103.20108717570557,92.591866705235,1,0,-2
74,6,sub-0006_ses-01_run-03-cognitive_ev-cue-0006,6,1,3,cognitive,cue,6,199.7982997894287,1,1,True,low_cue,low_stim,65.55604521958347,85.86532862626359,-1,1,1
75,7,sub-0006_ses-01_run-03-cognitive_ev-cue-0007,6,1,3,cognitive,cue,7,236.79542994499207,1,1,True,high_cue,high_stim,65.55604521958347,85.86532862626359,-1,1,1
76,8,sub-0006_ses-01_run-03-cognitive_ev-cue-0008,6,1,3,cognitive,cue,8,264.1889798641205,1,1,True,high_cue,high_stim,110.42001560927764,69.82054133548907,1,0,-2
77,9,sub-0006_ses-01_run-03-cognitive_ev-cue-0009,6,1,3,cognitive,cue,9,298.4017300605774,1,1,True,high_cue,low_stim,110.42001560927764,69.82054133548907,1,0,-2
78,10,sub-0006_ses-01_run-03-cognitive_ev-cue-0010,6,1,3,cognitive,cue,10,335.99908995628357,1,1,True,high_cue,low_stim,111.50143432404792,61.68364505672778,-1,1,1
79,11,sub-0006_ses-01_run-03-cognitive_ev-cue-0011,6,1,3,cognitive,cue,11,366.9939799308777,1,1,True,low_cue,med_stim,111.50143432404792,61.68364505672778,-1,1,1
80,12,sub-0006_ses-01_run-03-cognitive_ev-stim-0000,6,1,3,cognitive,stim,0,24.59888005256653,5,1,True,low_cue,low_stim,91.8476102659946,22.65523270867979,-1,-1,1
81,13,sub-0006_ses-01_run-03-cognitive_ev-stim-0001,6,1,3,cognitive,stim,1,52.19250988960266,5,1,True,low_cue,med_stim,91.8476102659946,22.65523270867979,-1,-1,1
82,14,sub-0006_ses-01_run-03-cognitive_ev-stim-0002,6,1,3,cognitive,stim,2,88.08921980857849,5,1,True,high_cue,med_stim,122.20303927440504,10.44942815776925,1,1,1
83,15,sub-0006_ses-01_run-03-cognitive_ev-stim-0003,6,1,3,cognitive,stim,3,122.30197978019714,5,1,True,low_cue,high_stim,122.20303927440504,10.44942815776925,1,1,1
84,16,sub-0006_ses-01_run-03-cognitive_ev-stim-0004,6,1,3,cognitive,stim,4,157.29836988449097,5,1,True,high_cue,med_stim,100.22216863363612,66.46419905422049,1,1,1
85,17,sub-0006_ses-01_run-03-cognitive_ev-stim-0005,6,1,3,cognitive,stim,5,184.69191980361938,5,1,True,low_cue,high_stim,100.22216863363612,66.46419905422049,1,1,1
86,18,sub-0006_ses-01_run-03-cognitive_ev-stim-0006,6,1,3,cognitive,stim,6,220.20515990257263,5,1,True,low_cue,low_stim,100.44942815776923,17.709724523862757,1,-1,1
87,19,sub-0006_ses-01_run-03-cognitive_ev-stim-0007,6,1,3,cognitive,stim,7,247.2985999584198,5,1,True,high_cue,high_stim,100.44942815776923,17.709724523862757,1,-1,1
88,20,sub-0006_ses-01_run-03-cognitive_ev-stim-0008,6,1,3,cognitive,stim,8,281.4946799278259,5,1,True,high_cue,high_stim,67.13294370022732,7.381818421919884,1,-1,1
89,21,sub-0006_ses-01_run-03-cognitive_ev-stim-0009,6,1,3,cognitive,stim,9,323.89383006095886,5,1,True,high_cue,low_stim,67.13294370022732,7.381818421919884,1,-1,1
90,22,sub-0006_ses-01_run-03-cognitive_ev-stim-0010,6,1,3,cognitive,stim,10,347.7027099132538,5,1,True,high_cue,low_stim,39.305569282244605,21.20281864380967,-1,0,-2
91,23,sub-0006_ses-01_run-03-cognitive_ev-stim-0011,6,1,3,cognitive,stim,11,384.49975991249084,5,1,True,low_cue,med_stim,39.305569282244605,21.20281864380967,-1,0,-2
92,24,sub-0006_ses-01_run-03-cognitive_ev-rating-0nan,6,1,3,cognitive,rating,,"[-1614784303.7914102, -1614784284.5008802, -1614784276.2144601, -1614784256.1069603, -1614784244.6026702, -1614784223.9116201, -1614784208.9060202, -1614784189.29871, -1614784173.0093002, -1614784153.3019502, -1614784145.3156402, -1614784125.30818, -1614784117.0050802, -1614784088.7112002, -1614784081.3084402, -1614784064.3021002, -1614784052.6144001, -1614784029.3057103, -1614784018.60172, -1614783988.70724, -1614783980.9043303, -1614783960.41335, -1614783950.9098103, -1614783925.3002603]","[4.0, 1.93425703048706, 2.6535439491272004, 2.49018120765686, 1.98428606987, 1.63411855697632, 3.1559815406799303, 3.09266901016235, 2.01760983467102, 2.9026095867157, 1.52204585075378, 2.5107867717742898, 3.38505291938782, 2.10792350769043, 2.78453493118286, 3.86825084686279, 3.48618483543396, 2.17571926116943, 3.1180014610290496, 2.3362865447998, 2.20093965530396, 2.42490315437317, 2.41786289215088, 2.6178531646728502]",1,False,,,,,,,
93,25,csf,6,1,3,cognitive,,,,,,False,,,,,,,
94,26,white_matter,6,1,3,cognitive,,,,,,False,,,,,,,
95,27,trans_x,6,1,3,cognitive,,,,,,False,,,,,,,
96,28,trans_y,6,1,3,cognitive,,,,,,False,,,,,,,
97,29,trans_z,6,1,3,cognitive,,,,,,False,,,,,,,
98,30,rot_x,6,1,3,cognitive,,,,,,False,,,,,,,
99,31,rot_y,6,1,3,cognitive,,,,,,False,,,,,,,
100,32,rot_z,6,1,3,cognitive,,,,,,False,,,,,,,
101,33,dummy,6,1,3,cognitive,,,,,,False,,,,,,,
102,0,sub-0006_ses-01_run-04-pain_ev-cue-0000,6,1,4,pain,cue,0,5.676750183105469,1,1,True,low_cue,med_stim,66.31791227546155,16.765202508210354,-1,0,-2
103,1,sub-0006_ses-01_run-04-pain_ev-cue-0001,6,1,4,pain,cue,1,34.987679958343506,1,1,True,high_cue,low_stim,66.31791227546155,16.765202508210354,-1,0,-2
104,2,sub-0006_ses-01_run-04-pain_ev-cue-0002,6,1,4,pain,cue,2,62.68133997917175,1,1,True,low_cue,high_stim,50.54846629371807,86.46770541610908,1,-1,1
105,3,sub-0006_ses-01_run-04-pain_ev-cue-0003,6,1,4,pain,cue,3,96.07713007926941,1,1,True,high_cue,med_stim,50.54846629371807,86.46770541610908,1,-1,1
106,4,sub-0006_ses-01_run-04-pain_ev-cue-0004,6,1,4,pain,cue,4,131.57370018959045,1,1,True,low_cue,med_stim,63.02349607893028,27.181111085477223,-1,1,1
107,5,sub-0006_ses-01_run-04-pain_ev-cue-0005,6,1,4,pain,cue,5,163.38556003570557,1,1,True,low_cue,high_stim,63.02349607893028,27.181111085477223,-1,1,1
108,6,sub-0006_ses-01_run-04-pain_ev-cue-0006,6,1,4,pain,cue,6,193.38007998466492,1,1,True,high_cue,high_stim,47.92734799174088,6.213375265278378,1,0,-2
109,7,sub-0006_ses-01_run-04-pain_ev-cue-0007,6,1,4,pain,cue,7,234.37870001792908,1,1,True,low_cue,low_stim,47.92734799174088,6.213375265278378,1,0,-2
110,8,sub-0006_ses-01_run-04-pain_ev-cue-0008,6,1,4,pain,cue,8,259.08791995048523,1,1,True,low_cue,low_stim,53.03761530048566,51.41460180733972,-1,0,-2
111,9,sub-0006_ses-01_run-04-pain_ev-cue-0009,6,1,4,pain,cue,9,307.7727401256561,1,1,True,high_cue,low_stim,53.03761530048566,51.41460180733972,-1,0,-2
112,10,sub-0006_ses-01_run-04-pain_ev-cue-0010,6,1,4,pain,cue,10,340.68500995635986,1,1,True,high_cue,med_stim,85.15988751115297,125.80641775138692,-1,1,1
113,11,sub-0006_ses-01_run-04-pain_ev-cue-0011,6,1,4,pain,cue,11,371.4798300266266,1,1,True,high_cue,high_stim,85.15988751115297,125.80641775138692,-1,1,1
114,12,sub-0006_ses-01_run-04-pain_ev-stim-0000,6,1,4,pain,stim,0,19.428879976272583,5,1,True,low_cue,med_stim,55.275358164878135,33.11134196037203,1,1,1
115,13,sub-0006_ses-01_run-04-pain_ev-stim-0001,6,1,4,pain,stim,1,44.70795011520386,5,1,True,high_cue,low_stim,55.275358164878135,33.11134196037203,1,1,1
116,14,sub-0006_ses-01_run-04-pain_ev-stim-0002,6,1,4,pain,stim,2,78.42165994644165,5,1,True,low_cue,high_stim,69.0944306630845,36.9662739712862,-1,-1,1
117,15,sub-0006_ses-01_run-04-pain_ev-stim-0003,6,1,4,pain,stim,3,106.60477995872498,5,1,True,high_cue,med_stim,69.0944306630845,36.9662739712862,-1,-1,1
118,16,sub-0006_ses-01_run-04-pain_ev-stim-0004,6,1,4,pain,stim,4,143.03310990333557,5,1,True,low_cue,med_stim,66.06135446121277,12.303923554059908,-1,-1,1
119,17,sub-0006_ses-01_run-04-pain_ev-stim-0005,6,1,4,pain,stim,5,180.79734992980957,5,1,True,low_cue,high_stim,66.06135446121277,12.303923554059908,-1,-1,1
120,18,sub-0006_ses-01_run-04-pain_ev-stim-0006,6,1,4,pain,stim,6,203.22104001045227,5,1,True,high_cue,high_stim,38.06338706982606,90.69869438298348,1,-1,1
121,19,sub-0006_ses-01_run-04-pain_ev-stim-0007,6,1,4,pain,stim,7,243.93526005744934,5,1,True,low_cue,low_stim,38.06338706982606,90.69869438298348,1,-1,1
