param_fmriSession,param_runNum,param_counterbalanceVer,param_counterbalanceBlockNum,param_cue_type,param_administer_type,param_cond_type,param_triggerOnset,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p2_cue_filename,p3_expect_onset,p3_expect_responseonset,p3_expect_RT,p4_fixation_onset,p4_fixation_duration,p5_administer_type,p5_administer_onset,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,param_end_instruct_onset,param_experimentDuration
2,5,1,2,low,49,3,2570.618348223,2573.37906315392,3.01699158576002,2576.42841279816,low,l042.png,2577.43644411871,2.08318672300493,2577.4617551599,0,0,49,2581.56609265629,2588.89988488107,2.44987736040412,2588.92771649474,3230.27403488997,659.655686666971
2,5,1,2,low,48,1,2570.618348223,2592.96188140455,3.81571466493051,2596.81058683648,low,l032.png,2597.81816853702,2.11651261217867,2597.84393459906,0,0,48,2601.92903402989,2608.94835202789,2.76656161130859,2608.95988795415,3230.27403488997,659.655686666971
2,5,1,2,high,48,2,2570.618348223,2612.99392513408,3.0158387762558,2616.04281651696,high,h021.png,2617.05072307809,1.71657250750513,2617.07614672681,0,0,48,2621.1606820398,2628.17174269205,3.01650929066182,2628.19209522115,3230.27403488997,659.655686666971
2,5,1,2,low,48,1,2570.618348223,2632.22611700868,3.01582338385924,2635.27502918479,low,l019.png,2636.28259279252,1.26648505438789,2636.30843959713,0,0,48,2640.39880754832,2647.41955919956,2.44991003549194,2647.44098649601,3230.27403488997,659.655686666971
2,5,1,2,low,48,1,2570.618348223,2651.47622131242,0.714858010540866,2652.22404065537,low,l054.png,2653.23312649013,1.99981637140718,2653.25737680614,0,0,48,2657.34183407698,2664.36043376314,2.03324973731651,2664.37334231313,3230.27403488997,659.655686666971
2,5,1,2,high,48,2,2570.618348223,2668.40808835344,1.21508768130298,2669.65637959487,high,h016.png,2670.66424078893,1.9665018239989,2670.68973356841,0,0,48,2674.77130571001,2681.77868487902,3.59981658744118,2681.78901668779,3230.27403488997,659.655686666971
2,5,1,2,low,49,3,2570.618348223,2685.92260540889,3.01622520642695,2688.97191022614,low,l001.png,2689.97972983373,1.7497860591875,2690.00535169331,0,0,49,2694.08764673747,2701.09487792344,2.91648598603297,2701.10460834857,3230.27403488997,659.655686666971
2,5,1,2,high,48,2,2570.618348223,2705.13842355393,1.41598357280191,2706.58757828181,high,h026.png,2707.59485834539,1.61662940536462,2707.60416507454,0,0,48,2711.68624840574,2718.69382092486,3.26647857337866,2718.70355026981,3230.27403488997,659.655686666971
2,5,1,2,high,48,2,2570.618348223,2722.73739923043,1.51599742595909,2724.28655808996,high,h019.png,2725.29420000988,2.13321687319922,2725.3198342914,0,0,48,2729.40272909895,2736.41041476568,2.61651247715781,2736.43585839751,3230.27403488997,659.655686666971
2,5,1,2,high,50,6,2570.618348223,2740.46968359443,0.416000315409292,2740.91893526741,high,h053.png,2741.92653236035,2.1164699455353,2741.95228600045,0,0,50,2746.03385760197,2753.05055889253,3.18318059305011,2753.06823638509,3230.27403488997,659.655686666971
2,5,1,2,low,50,5,2570.618348223,2757.10204024869,1.71602702256769,2758.85121493268,low,l049.png,2759.85877232944,1.916448450188,2759.88462453489,0,0,50,2763.96703515704,2770.97885057682,2.09991933844003,2771.00052118115,3230.27403488997,659.655686666971
2,5,1,2,high,50,6,2570.618348223,2775.03433206585,3.0160178141341,2778.08345244438,high,h010.png,2779.09080703956,2.18316520065355,2779.11679561625,0,0,50,2783.19854355522,2790.21175509239,1.93324047487431,2790.2327757055,3230.27403488997,659.655686666971
2,5,1,2,low,49,3,2570.618348223,2794.26663303743,0.715943579574741,2794.99913829582,low,l016.png,2796.00642835096,1.33331803095052,2796.0157285991,0,0,49,2800.09864473997,2807.10554782485,2.61657593703922,2807.13176053643,3230.27403488997,659.655686666971
2,5,1,2,low,49,3,2570.618348223,2811.1655622397,1.6160361229845,2812.79812061536,low,l051.png,2813.80553029912,1.83315398040622,2813.83149430198,0,0,49,2817.91321631691,2824.92038431304,2.94986507349086,2824.93074258593,3230.27403488997,659.655686666971
2,5,1,2,high,48,2,2570.618348223,2828.96456346218,2.51601119810357,2831.51370908964,high,h029.png,2832.5211052713,2.14983094017543,2832.54705307163,0,0,48,2836.62892063923,2843.63627118379,2.94987992580309,2843.64631215727,3230.27403488997,659.655686666971
2,5,1,2,low,50,5,2570.618348223,2847.68010845969,1.11603112720695,2848.81269856529,low,l040.png,2849.82001967526,2.63309062854205,2849.84607306204,0,0,50,2853.92805836797,2860.946066392,2.4165711842993,2860.96199941293,3230.27403488997,659.655686666971
2,5,1,2,low,50,5,2570.618348223,2864.99577249173,2.1160592115798,2867.14496559259,low,l036.png,2868.15220785028,2.09972895879628,2868.17841003023,0,0,50,2872.2604091083,2879.27153430061,2.31650251260635,2879.2943131575,3230.27403488997,659.655686666971
2,5,1,2,high,49,4,2570.618348223,2883.32814348522,0.515977172805833,2883.87733015908,high,h048.png,2884.88487216344,2.63313032472297,2884.91069628452,0,0,49,2888.99203727012,2895.99861360412,2.88315091542881,2896.00998318448,3230.27403488997,659.655686666971
2,5,1,2,high,50,6,2570.618348223,2900.04381594258,0.415986543264808,2900.47636605496,high,h013.png,2901.48377411847,2.44979526762108,2901.50975756435,0,0,50,2905.59160136825,2912.60199447656,2.19989727600478,2912.62569471692,3230.27403488997,659.655686666971
