subject,nps,nps_corr,nps_cosine,npspos,npspos_corr,npspos_cosine,npsneg,npsneg_corr,npsneg_cosine,pos_nps_vermis,pos_nps_vermis_corr,pos_nps_vermis_cosine,pos_nps_rIns,pos_nps_rIns_corr,pos_nps_rIns_cosine,pos_nps_rV1,pos_nps_rV1_corr,pos_nps_rV1_cosine,pos_nps_rThal,pos_nps_rThal_corr,pos_nps_rThal_cosine,pos_nps_lIns,pos_nps_lIns_corr,pos_nps_lIns_cosine,pos_nps_rdpIns,pos_nps_rdpIns_corr,pos_nps_rdpIns_cosine,pos_nps_rS2_Op,pos_nps_rS2_Op_corr,pos_nps_rS2_Op_cosine,pos_nps_dACC,pos_nps_dACC_corr,pos_nps_dACC_cosine,neg_nps_rLOC,neg_nps_rLOC_corr,neg_nps_rLOC_cosine,neg_nps_lLOC,neg_nps_lLOC_corr,neg_nps_lLOC_cosine,neg_nps_rpLOC,neg_nps_rpLOC_corr,neg_nps_rpLOC_cosine,neg_nps_pgACC,neg_nps_pgACC_corr,neg_nps_pgACC_cosine,neg_nps_lSTS,neg_nps_lSTS_corr,neg_nps_lSTS_cosine,neg_nps_rIPL,neg_nps_rIPL_corr,neg_nps_rIPL_cosine,neg_nps_PCC,neg_nps_PCC_corr,neg_nps_PCC_cosine
sub-0013,-13.449085010691,-0.0980284895028552,-0.106279162550756,-3.42980573833387,-0.0737324807107541,-0.234294067253368,-0.0931837771514025,-0.0445173127674512,-0.0148093899525636,-0.0969518948387416,-0.460417859543898,-0.905878843001748,-0.186172334623362,-0.0265384980870275,-0.185992117149995,-1.0035559059418,-0.698237678697313,-0.645080447129778,0.00917965717939916,-0.121555052544279,0.138600560338512,-0.343811255124153,0.539083547343214,-0.628258506318397,-0.237242210280326,-0.422526347805153,-0.914481943425491,-0.312016110171468,0.0965454291100998,-0.870265525070101,-0.106877484084466,-0.287142662142658,-0.204508749779732,-0.267942149175562,-0.180372382062192,-0.617442632301113,-0.416351789003468,-0.682775155929949,-0.927502960402019,-0.0208399662380669,-0.261708988674749,-0.0365760090167926,0.207384129600517,0.182584491342273,0.868683718546861,0.212332313977612,0.445064705253055,0.755336427892595,-0.0827515448559463,-0.0398565925032208,-0.606226579120619,0.297488940196792,-0.223345399770119,0.884829088860576
sub-0014,-11.1888944111068,-0.114623271716433,-0.121168708034031,-2.61747579778901,-0.078786012851891,-0.293571867664779,-3.09527092550744,-0.0390845702483557,-0.328167627878574,-0.00315833247959632,-0.380247376431626,-0.0427176967729566,-0.695707101302792,-0.0402613481851183,-0.737010075568457,-0.140615356089345,-0.634473831911024,-0.275776726943513,0.0114681752860238,0.361345969440516,0.117758669828175,-0.0926827643138866,-0.0359540809494494,-0.534325562407337,-0.133645692715725,-0.688687828656654,-0.929982741830095,-0.321889532585993,-0.561731300253453,-0.942698969480865,-0.488489700061155,-0.0786174648646569,-0.411081223306546,-1.02491878102433,0.039375075577495,-0.826343350807628,-0.303994817445393,-0.200498177920422,-0.791292573547729,-0.544137451581907,0.0449766803655576,-0.83641742066899,0.0253081714765128,-0.384960381557961,0.294878294538958,-0.010909048789956,0.138301128010227,-0.0212314840212084,-0.289292014288516,-0.315638555877737,-0.848732663364388,-0.0162779707523556,-0.302333432665997,-0.288187395178157
sub-0018,-15.48441877281,-0.129595973468658,-0.139310721728443,-3.81670181808325,-0.0089295509133977,-0.329571730000478,-0.137395611017734,0.0797343302633404,-0.0211818388195117,-0.0700818531169834,0.109330967420484,-0.907681761263542,-0.788886387537936,-0.14309607212787,-0.487026509972627,0.179620825301245,-0.154641474847993,0.405748565134867,-0.159271329968731,-0.403491032276394,-0.942075241711549,-0.186442098136815,-0.317321036985123,-0.717693449300614,-0.121645127506525,0.403231015900211,-0.727313973564639,-0.619733200360953,-0.357102671034119,-0.919843172465295,-0.926548526610054,0.103215333939621,-0.6617114270337,-0.250536295981862,0.0366292250502695,-0.53734082710049,-0.453313352276505,-0.43525712131548,-0.964574288932209,0.279712339730661,0.00239030152792716,0.663702094855092,0.0398566481211519,0.0493875014233654,0.452980575186824,0.262057102137742,0.43923779552281,0.644630871430476,-0.151225113047659,0.21692399610577,-0.753405804518384,0.18578148046072,0.388548319393547,0.943567956132216
sub-0019,-15.9955474014998,-0.130111297100205,-0.137153293147256,-4.90182491919124,-0.0788893913679862,-0.374194685859057,-2.11887138942009,0.0223795459571699,-0.200197640097857,-0.0841185463339244,0.215587755405735,-0.834591040333581,-0.791708201404518,-0.171302060732097,-0.587828207851132,-0.0692705162527887,-0.604597701459599,-0.109962003681828,-0.0941799984418572,0.329527669656257,-0.766243825347448,-0.219858427035702,0.617002271003627,-0.542096994868893,-0.132426515588867,-0.128856208116738,-0.786254370431077,-0.671528857307328,-0.681239808617455,-0.948285590275929,-1.42143350306571,0.110074446512251,-0.718758740107855,-1.04726369075113,-0.00717339566386632,-0.801292966600926,-0.143343594517674,-0.768862094162038,-0.504499572632774,-0.297550573540172,0.0337298671551943,-0.59385960596895,0.178558572665709,0.145835434576157,0.867426479595302,-0.249355037190555,0.334206386880149,-0.418384215837905,-0.0758311062784817,0.331019052966508,-0.396033229646958,0.225730569452956,-0.0852908317861791,0.79458762489415
sub-0024,-22.1244979574195,-0.146481182083758,-0.145704267655258,-4.05087697093861,-0.160698139449424,-0.323286313649406,-4.48446802833383,-0.0605835881533296,-0.345736635195429,-0.0756092818952536,-0.331627106050152,-0.80480262044482,-0.897940472634281,-0.336150651769134,-0.515781025663722,-0.305211899165762,-0.68260206369731,-0.372679848228346,0.0190240370594789,-0.0587839885738982,0.193512992135761,-0.214022670180552,-0.14924079416501,-0.79212701621802,-0.117805590006654,0.0312109955333512,-0.707062632417016,-0.278350340078518,-0.151349965456025,-0.822859742055113,-0.997108759604958,-0.0495020518894351,-0.693927472718019,-1.08167909632469,-0.481416299959678,-0.924471514808297,-0.487302800163921,0.0061849346402754,-0.845797550911163,-1.43734696858744,-0.303132617594397,-0.919520131928203,0.154553384766126,-0.0811951131299581,0.752392432801915,-0.212093286394521,0.46138809557018,-0.256556282967178,-0.101316688914541,-0.0189254275675506,-0.441644805575092,0.0709986853387707,-0.322389739282491,0.262967133778708
sub-0026,-20.7563584187271,-0.132716226617408,-0.142157872445767,-6.06552691975607,-0.0493493446981749,-0.386162815863013,-1.13589507318125,-0.094687997364294,-0.144535668473313,-0.135133636520204,-0.533592091385672,-0.856618775405019,-1.15917690671057,-0.145681234116087,-0.715653442928524,-0.118701347491583,-0.604843672711122,-0.167734582138201,-0.181192703460621,0.176183894777677,-0.842450818168658,-0.775988535473677,0.147457428242767,-0.819355108470275,-0.00482653516408932,0.270010913092385,-0.0580377204669246,-0.377696909447602,-0.491399893418907,-0.919561042149647,-1.49202545060707,0.123869334034983,-0.685391624256243,-0.199429088075356,-0.205189375598376,-0.560616741743806,-0.428073315099777,-0.622954635984485,-0.897840077578195,-0.97256209449626,-0.360942473700656,-0.850388325669662,-0.0795265051791509,0.245523572389923,-0.55479345747152,0.335149976388711,0.294836728884353,0.813534459740085,0.13442128450998,0.7014415609468,0.793675080677131,0.415855931956734,-0.0713416221156122,0.87629881968675
sub-0028,-14.442180326464,-0.0761300140697203,-0.0934817153705342,-6.48132397547317,-0.0781060382579451,-0.443390403763238,0.757857660753636,-0.000712596435591207,0.106179660307561,-0.0440887548104041,-0.528349035506365,-0.575607796795383,-1.46343167402427,-0.0318324656884565,-0.737995243875249,-0.301147537203073,-0.552779849357866,-0.668760088241219,-0.200165293040353,0.0637583460144253,-0.81054153880651,-0.536724500399931,-0.555174507951253,-0.907933186850912,-0.440048531624041,-0.550247883706956,-0.931324011900389,-0.438969627158071,-0.520997424774431,-0.887319606232147,-1.17432183133451,-0.0859129865909895,-0.657789764079218,-0.269319711477601,0.421555844923473,-0.475632486704056,-0.279836898147611,-0.675784959144655,-0.906318977325614,-0.237708133315339,-0.000611483767499182,-0.627188542041018,0.0726093909632602,0.145499640020745,0.44747474802236,0.918825823595098,0.397955660925236,0.942565626011385,-0.00810554778276878,0.226356428527465,-0.0885311044321568,0.363683553977704,0.0735528144420559,0.942816089442153
sub-0032,-6.78444391092181,-0.0562344201120148,-0.0723630656897875,-1.60156091886702,0.0809400046660978,-0.192833156902762,-1.64225842268893,-0.111519636318621,-0.229199068630408,-0.12332684459698,-0.410577245556317,-0.781723345980839,-0.632164106290863,-0.128420248941662,-0.693850343039099,0.482353976861134,-0.478672332093444,0.689376390161987,-0.0729618160726906,0.231862628101858,-0.684813696497724,0.0411413465392509,-0.330436825856787,0.205004397238173,-0.094476751478436,0.373199157382297,-0.746917416744596,-0.221053512929534,0.0459442776929388,-0.898690845921592,-0.536437452156045,0.108548432447731,-0.641022920460628,-0.440688380311682,-0.363997024908353,-0.831988922483391,-0.278216201561628,-0.52238215740116,-0.893851027659175,-0.417424416795355,-0.2179578881475,-0.691971448199949,0.140087001239654,0.0451666422088172,0.795439057249104,-0.662238743233496,0.101238126123425,-0.799047619997724,0.209912019919792,0.0429203702041095,0.769201506186149,0.290638735517574,0.249571489946636,0.876124297498039
sub-0033,-15.7977547218993,-0.151743208135431,-0.155672384334851,-3.61787262445108,-0.0923651074054259,-0.304680253494984,-2.85278530929928,-0.164090917378497,-0.41883609314941,-0.044623306441782,-0.219563527767341,-0.662597960004635,-0.840192978040043,-0.18059563152939,-0.667320298479587,0.431845937321707,-0.250144123295947,0.708902158710501,0.030546083526404,-0.499362007008053,0.341872551418152,-0.350949934749766,-0.11526715918526,-0.839345789844816,-0.192044230854626,0.0846778946901333,-0.763125253232645,-0.533336012364396,-0.400477217531897,-0.918062853832592,-1.17198381711392,-0.176594059340757,-0.671760609151214,-0.22754110420955,-0.0236849099419886,-0.54215790074772,-0.370114617861674,-0.662921611424163,-0.971967608118114,-0.454052932106456,-0.209636989600155,-0.896165275727223,0.0858186915528608,-0.278550458288024,0.709601273286965,-0.999754008186778,-0.320499237220526,-0.896410287145697,-0.121796373548083,0.735393849532296,-0.621253197924093,0.059327140973893,0.214543448872632,0.882608485187811
sub-0035,-25.9882001389157,-0.167418455533762,-0.173171575612654,-7.05059753533221,-0.0865539892505109,-0.404786069510223,-2.42557534956579,-0.150984412494964,-0.253065958164999,-0.12741050096523,-0.682351448787303,-0.899885441354467,-1.32873839515306,-0.228109311698199,-0.711906406595384,-0.693438075843767,-0.762347235627262,-0.531314977011075,-0.180396955537399,-0.256023361322037,-0.811240725758848,-0.488853093834613,0.565693540726644,-0.770073122057891,-0.178170102008314,0.111557796525279,-0.807553263405516,-0.767524573190282,-0.711114417727782,-0.96562921444632,-1.14183165385869,-0.11331891706464,-0.675187450621655,-0.528526719957538,-0.544006743330733,-0.949919786811535,-0.533538485864374,-0.319877793278921,-0.944688532950083,-1.24360071255362,-0.390831684960572,-0.937431370202891,0.129257186400653,0.415151891086481,0.744874327782198,0.265602115473082,-0.0925279044214662,0.602078079542781,-0.359074349357049,-0.252246273927482,-0.833824053040139,0.566434023857758,-0.241631027327476,0.937126766526879
