,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_order,iv_stim,mean_signal
0,26,1,cognitive,6,high_cue,low_stim,4,0,low_stim,0.06801853554744629
1,26,1,cognitive,6,low_cue,low_stim,1,1,low_stim,-0.041828367989170744
2,26,1,cognitive,6,low_cue,med_stim,2,2,med_stim,-0.37484464644195603
3,26,1,cognitive,6,low_cue,high_stim,3,3,high_stim,0.7829585763694437
4,26,1,cognitive,6,high_cue,med_stim,5,4,med_stim,-0.3486457368582578
5,26,1,cognitive,6,high_cue,high_stim,6,5,high_stim,-0.44953449258064687
6,26,1,cognitive,6,high_cue,low_stim,4,6,low_stim,-0.7309940567255527
7,26,1,cognitive,6,high_cue,high_stim,6,7,high_stim,-0.20068964381776855
8,26,1,cognitive,6,low_cue,low_stim,1,8,low_stim,-0.06335753056675064
9,26,1,cognitive,6,low_cue,med_stim,2,9,med_stim,-0.25952401634970806
10,26,1,cognitive,6,low_cue,high_stim,3,10,high_stim,-0.05344044837960797
11,26,1,cognitive,6,high_cue,med_stim,5,11,med_stim,0.05675970726045192
