,index,nifti_name,sub,ses,run,task,ev,num,onset,dur,mod,regressor,cue_type,stim_type,expect_rating,actual_rating,cue_con,stim_lin,stim_quad
292,20,sub-0079_ses-03_run-05-vicarious_ev-stim-0008,79,3,5,vicarious,stim,8,282.7770800590515,5,1,True,high_cue,high_stim,33.17851165939275,27.694391593141653,-1,-1,1
293,21,sub-0079_ses-03_run-05-vicarious_ev-stim-0009,79,3,5,vicarious,stim,9,310.2764699459076,5,1,True,low_cue,med_stim,33.17851165939275,27.694391593141653,-1,-1,1
294,22,sub-0079_ses-03_run-05-vicarious_ev-stim-0010,79,3,5,vicarious,stim,10,348.5766999721527,5,1,True,low_cue,low_stim,5.756338261123381,18.943263061251518,-1,1,1
295,23,sub-0079_ses-03_run-05-vicarious_ev-stim-0011,79,3,5,vicarious,stim,11,388.37625002861023,5,1,True,low_cue,high_stim,5.756338261123381,18.943263061251518,-1,1,1
296,24,sub-0079_ses-03_run-05-vicarious_ev-rating-0nan,79,3,5,vicarious,rating,,"[-1633021707.87829, -1633021691.37214, -1633021678.484, -1633021652.67437, -1633021641.48687, -1633021617.9781, -1633021606.37377, -1633021587.58343, -1633021579.1803, -1633021562.67414, -1633021549.7859998, -1633021530.57884, -1633021515.78999, -1633021490.68063, -1633021480.7769299, -1633021458.08514, -1633021442.87947, -1633021422.67193, -1633021414.8857, -1633021397.07905, -1633021385.97491, -1633021348.0774498, -1633021340.4746099, -1633021320.6838999]","[4.0, 3.72478747367859, 3.60162711143494, 3.5182456970214804, 2.72108006477356, 4.0, 1.40069794654846, 4.0, 4.0, 2.0343248844146697, 3.41816592216492, 1.73412585258484, 1.93426156044006, 3.53483700752258, 2.8855466842651403, 3.8076319694519, 1.350665807724, 2.16971945762634, 3.1547482013702406, 4.0, 3.4848215579986603, 3.35330486297607, 4.0, 2.53457283973694]",1,False,,,,,,,
297,25,csf,79,3,5,vicarious,,,,,,False,,,,,,,
298,26,white_matter,79,3,5,vicarious,,,,,,False,,,,,,,
299,27,trans_x,79,3,5,vicarious,,,,,,False,,,,,,,
300,28,trans_y,79,3,5,vicarious,,,,,,False,,,,,,,
301,29,trans_z,79,3,5,vicarious,,,,,,False,,,,,,,
302,30,rot_x,79,3,5,vicarious,,,,,,False,,,,,,,
303,31,rot_y,79,3,5,vicarious,,,,,,False,,,,,,,
304,32,rot_z,79,3,5,vicarious,,,,,,False,,,,,,,
305,33,dummy,79,3,5,vicarious,,,,,,False,,,,,,,
306,0,sub-0079_ses-03_run-06-cognitive_ev-cue-0000,79,3,6,cognitive,cue,0,11.591619968414307,1,1,True,low_cue,low_stim,9.23555909316592,7.640406761026755,-1,-1,1
307,1,sub-0079_ses-03_run-06-cognitive_ev-cue-0001,79,3,6,cognitive,cue,1,42.38643002510071,1,1,True,high_cue,med_stim,9.23555909316592,7.640406761026755,-1,-1,1
308,2,sub-0079_ses-03_run-06-cognitive_ev-cue-0002,79,3,6,cognitive,cue,2,74.19830012321472,1,1,True,high_cue,low_stim,36.82380290155446,26.771150214462114,1,0,-2
309,3,sub-0079_ses-03_run-06-cognitive_ev-cue-0003,79,3,6,cognitive,cue,3,110.5952000617981,1,1,True,high_cue,high_stim,36.82380290155446,26.771150214462114,1,0,-2
310,4,sub-0079_ses-03_run-06-cognitive_ev-cue-0004,79,3,6,cognitive,cue,4,139.8894600868225,1,1,True,low_cue,med_stim,33.754517194537144,26.771150214462114,1,-1,1
311,5,sub-0079_ses-03_run-06-cognitive_ev-cue-0005,79,3,6,cognitive,cue,5,181.28823018074036,1,1,True,low_cue,high_stim,33.754517194537144,26.771150214462114,1,-1,1
312,6,sub-0079_ses-03_run-06-cognitive_ev-cue-0006,79,3,6,cognitive,cue,6,216.1012098789215,1,1,True,low_cue,med_stim,22.44275336529435,37.28641859227887,1,1,1
313,7,sub-0079_ses-03_run-06-cognitive_ev-cue-0007,79,3,6,cognitive,cue,7,250.3973400592804,1,1,True,low_cue,high_stim,22.44275336529435,37.28641859227887,1,1,1
314,8,sub-0079_ses-03_run-06-cognitive_ev-cue-0008,79,3,6,cognitive,cue,8,287.694580078125,1,1,True,high_cue,low_stim,4.84011248884704,14.779560180119557,-1,0,-2
315,9,sub-0079_ses-03_run-06-cognitive_ev-cue-0009,79,3,6,cognitive,cue,9,317.9892098903656,1,1,True,high_cue,high_stim,4.84011248884704,14.779560180119557,-1,0,-2
316,10,sub-0079_ses-03_run-06-cognitive_ev-cue-0010,79,3,6,cognitive,cue,10,343.89887022972107,1,1,True,high_cue,med_stim,4.647970691387034,47.29061004263853,-1,1,1
