,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_order,iv_stim,mean_signal
0,46,4,vicarious,-1,low_cue,med_stim,2,0,med_stim,0.5004997193798669
1,46,4,vicarious,-1,high_cue,low_stim,4,1,low_stim,0.10946821484087542
2,46,4,vicarious,-1,high_cue,high_stim,6,2,high_stim,-0.3308601389008608
3,46,4,vicarious,-1,low_cue,med_stim,2,3,med_stim,-0.7186488467528952
4,46,4,vicarious,-1,high_cue,low_stim,4,4,low_stim,-0.8640858502276116
5,46,4,vicarious,-1,low_cue,high_stim,3,5,high_stim,-1.2261953862680846
6,46,4,vicarious,-1,low_cue,low_stim,1,6,low_stim,2.123730442153862
7,46,4,vicarious,-1,high_cue,med_stim,5,7,med_stim,0.4220744947715026
8,46,4,vicarious,-1,low_cue,high_stim,3,8,high_stim,-0.2546487597302997
9,46,4,vicarious,-1,high_cue,med_stim,5,9,med_stim,1.148706865192108
10,46,4,vicarious,-1,low_cue,low_stim,1,10,low_stim,0.0681787094451832
11,46,4,vicarious,-1,high_cue,high_stim,6,11,high_stim,-0.7381892662069458
