onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	onset_ttl1	onset_ttl2	onset_ttl3	onset_ttl4	stimulus_delivery_success
14.18	1.0	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l034.png	n/a	n/a	n/a	n/a	n/a
40.58	1.0	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l003.png	n/a	n/a	n/a	n/a	n/a
72.19	1.0	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h040.png	n/a	n/a	n/a	n/a	n/a
108.99	1.0	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l049.png	n/a	n/a	n/a	n/a	n/a
145.08	1.0	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h047.png	n/a	n/a	n/a	n/a	n/a
171.39	0.98	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l004.png	n/a	n/a	n/a	n/a	n/a
199.79	1.0	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l038.png	n/a	n/a	n/a	n/a	n/a
236.78	1.0	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h015.png	n/a	n/a	n/a	n/a	n/a
264.18	1.0	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h039.png	n/a	n/a	n/a	n/a	n/a
298.39	1.0	cue	10	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h028.png	n/a	n/a	n/a	n/a	n/a
335.99	1.0	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h009.png	n/a	n/a	n/a	n/a	n/a
366.98	1.0	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l007.png	n/a	n/a	n/a	n/a	n/a
16.0	2.17	expectrating	1	low_cue	n/a	45.0	Strong	45.0	Strong	0.4	1.77	l034.png	n/a	n/a	n/a	n/a	n/a
43.59	1.8	expectrating	2	low_cue	n/a	45.49	Strong	45.49	Strong	0.42	1.38	l003.png	n/a	n/a	n/a	n/a	n/a
75.19	2.89	expectrating	3	high_cue	n/a	70.1	Very Strong	70.1	Very Strong	0.47	2.42	h040.png	n/a	n/a	n/a	n/a	n/a
110.89	1.93	expectrating	4	low_cue	n/a	47.46	Strong	47.46	Strong	0.52	1.41	l049.png	n/a	n/a	n/a	n/a	n/a
146.78	2.73	expectrating	5	high_cue	n/a	61.97	Strong	61.97	Strong	0.7	2.03	h047.png	n/a	n/a	n/a	n/a	n/a
174.49	1.82	expectrating	6	low_cue	n/a	50.87	Strong	50.87	Strong	0.53	1.29	l004.png	n/a	n/a	n/a	n/a	n/a
