,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,61,4,pain,0,high_cue,low_stim,4,1,0,low_stim,0.1139119265664988
1,61,4,pain,0,low_cue,med_stim,2,2,1,med_stim,0.18574352174980704
2,61,4,pain,0,high_cue,high_stim,6,3,2,high_stim,0.1829901863952119
3,61,4,pain,0,low_cue,high_stim,3,4,3,high_stim,-1.051645801525053
4,61,4,pain,0,high_cue,low_stim,4,5,4,low_stim,0.32476735515763705
5,61,4,pain,0,high_cue,med_stim,5,6,5,med_stim,0.5176606237165791
6,61,4,pain,0,low_cue,high_stim,3,7,6,high_stim,0.5363315443669071
7,61,4,pain,0,high_cue,med_stim,5,8,7,med_stim,-1.6878253127350618
8,61,4,pain,0,low_cue,low_stim,1,9,8,low_stim,-0.4774837918132972
9,61,4,pain,0,low_cue,low_stim,1,10,9,low_stim,1.2711631512733927
10,61,4,pain,0,high_cue,high_stim,6,11,10,high_stim,-0.09099427857371539
11,61,4,pain,0,low_cue,med_stim,2,12,11,med_stim,1.1562574863675796
