onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	onset_ttl1	onset_ttl2	onset_ttl3	onset_ttl4	stimulus_delivery_success
3.4	1.0	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l022.png	n/a	n/a	n/a	n/a	n/a
46.0	1.0	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h047.png	n/a	n/a	n/a	n/a	n/a
80.69	1.0	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l014.png	n/a	n/a	n/a	n/a	n/a
110.3	1.0	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l042.png	n/a	n/a	n/a	n/a	n/a
143.8	1.0	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h031.png	n/a	n/a	n/a	n/a	n/a
171.29	1.0	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h003.png	n/a	n/a	n/a	n/a	n/a
201.1	1.0	cue	7	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h030.png	n/a	n/a	n/a	n/a	n/a
234.8	1.0	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l047.png	n/a	n/a	n/a	n/a	n/a
265.09	1.0	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l051.png	n/a	n/a	n/a	n/a	n/a
295.51	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l033.png	n/a	n/a	n/a	n/a	n/a
337.9	0.98	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h037.png	n/a	n/a	n/a	n/a	n/a
362.6	1.0	cue	12	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h001.png	n/a	n/a	n/a	n/a	n/a
6.11	1.5	expectrating	1	low_cue	n/a	34.71	Strong	34.71	Strong	0.38	1.12	l022.png	n/a	n/a	n/a	n/a	n/a
49.1	2.77	expectrating	2	high_cue	n/a	73.68	Very Strong	73.68	Very Strong	0.45	2.32	h047.png	n/a	n/a	n/a	n/a	n/a
83.81	1.37	expectrating	3	low_cue	n/a	29.17	Strong	29.17	Strong	0.32	1.05	l014.png	n/a	n/a	n/a	n/a	n/a
111.8	2.09	expectrating	4	low_cue	n/a	6.93	Weak	6.93	Weak	0.37	1.72	l042.png	n/a	n/a	n/a	n/a	n/a
146.9	1.94	expectrating	5	high_cue	n/a	77.97	Very Strong	77.97	Very Strong	0.45	1.49	h031.png	n/a	n/a	n/a	n/a	n/a
173.29	3.1	expectrating	6	high_cue	n/a	54.38	Strong	54.38	Strong	0.6	2.5	h003.png	n/a	n/a	n/a	n/a	n/a
203.1	2.27	expectrating	7	high_cue	n/a	46.65	Strong	46.65	Strong	0.43	1.84	h030.png	n/a	n/a	n/a	n/a	n/a
237.3	0.99	expectrating	8	low_cue	n/a	0.0		0.0		0.33	0.66	l047.png	n/a	n/a	n/a	n/a	n/a
268.2	2.48	expectrating	9	low_cue	n/a	26.46	Moderate	26.46	Moderate	0.32	2.17	l051.png	n/a	n/a	n/a	n/a	n/a
297.41	2.15	expectrating	10	low_cue	n/a	12.26	Moderate	12.26	Moderate	0.32	1.83	l033.png	n/a	n/a	n/a	n/a	n/a
340.61	2.07	expectrating	11	high_cue	n/a	64.87	Very Strong	64.87	Very Strong	0.15	1.92	h037.png	n/a	n/a	n/a	n/a	n/a
364.8	1.45	expectrating	12	high_cue	n/a	68.16	Very Strong	68.16	Very Strong	0.43	1.02	h001.png	n/a	n/a	n/a	n/a	n/a
16.55	29.37	stimulus	1	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	50c	16.55	20.56	25.56	29.37	success
57.63	69.99	stimulus	2	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	49c	57.63	61.39	66.39	70.0	success
88.33	100.24	stimulus	3	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	48c	88.33	91.83	96.83	100.23	success
116.63	128.53	stimulus	4	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	48c	116.63	120.13	125.13	128.53	success
154.64	166.54	stimulus	5	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	48c	154.64	158.14	163.14	166.54	success
177.83	190.2	stimulus	6	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	49c	177.83	181.59	186.59	190.2	success
214.14	226.04	stimulus	7	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	48c	214.14	217.64	222.64	226.04	success
249.33	262.15	stimulus	8	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	50c	249.33	253.34	258.34	262.15	success
277.92	290.28	stimulus	9	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	49c	277.92	281.68	286.68	290.29	success
309.11	321.47	stimulus	10	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	49c	309.11	312.87	317.87	321.48	success
346.03	358.85	stimulus	11	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	50c	346.03	350.04	355.04	358.85	success
376.52	389.34	stimulus	12	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	50c	376.52	380.53	385.53	389.34	success
32.61	1.5	outcomerating	1	low_cue	high_stim	52.17	Strong	52.17	Strong	0.5	1.0	task-pain_scale.png	n/a	n/a	n/a	n/a	success
76.01	2.53	outcomerating	2	high_cue	med_stim	64.77	Very Strong	64.77	Very Strong	0.47	2.07	task-pain_scale.png	n/a	n/a	n/a	n/a	success
97.8	3.68	outcomerating	3	low_cue	low_stim	44.51	Strong	44.51	Strong	0.73	2.94	task-pain_scale.png	n/a	n/a	n/a	n/a	success
134.7	1.77	outcomerating	4	low_cue	low_stim	15.88	Moderate	15.88	Moderate	0.47	1.3	task-pain_scale.png	n/a	n/a	n/a	n/a	success
166.61	2.1	outcomerating	5	high_cue	low_stim	66.41	Very Strong	66.41	Very Strong	0.77	1.33	task-pain_scale.png	n/a	n/a	n/a	n/a	success
189.6	2.21	outcomerating	6	high_cue	med_stim	59.76	Strong	59.76	Strong	0.68	1.52	task-pain_scale.png	n/a	n/a	n/a	n/a	success
226.7	1.82	outcomerating	7	high_cue	low_stim	57.14	Strong	57.14	Strong	0.53	1.28	task-pain_scale.png	n/a	n/a	n/a	n/a	success
260.39	3.03	outcomerating	8	low_cue	high_stim	67.98	Very Strong	67.98	Very Strong	0.72	2.32	task-pain_scale.png	n/a	n/a	n/a	n/a	success
290.0	2.87	outcomerating	9	low_cue	med_stim	34.52	Strong	34.52	Strong	0.53	2.34	task-pain_scale.png	n/a	n/a	n/a	n/a	success
321.7	2.94	outcomerating	10	low_cue	med_stim	23.47	Moderate	23.47	Moderate	0.75	2.19	task-pain_scale.png	n/a	n/a	n/a	n/a	success
355.49	3.32	outcomerating	11	high_cue	high_stim	53.73	Strong	53.73	Strong	1.07	2.25	task-pain_scale.png	n/a	n/a	n/a	n/a	success
394.59	2.77	outcomerating	12	high_cue	high_stim	73.96	Very Strong	73.96	Very Strong	0.48	2.28	task-pain_scale.png	n/a	n/a	n/a	n/a	success
