,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,52,1,pain,6,low_cue,med_stim,2,1,0,med_stim,-1.4231257990066817
1,52,1,pain,6,high_cue,low_stim,4,2,1,low_stim,0.0307426978319938
2,52,1,pain,6,low_cue,high_stim,3,3,2,high_stim,0.11523041340862922
3,52,1,pain,6,high_cue,med_stim,5,4,3,med_stim,1.310913974712313
4,52,1,pain,6,low_cue,med_stim,2,5,4,med_stim,0.7510086951011818
5,52,1,pain,6,low_cue,high_stim,3,6,5,high_stim,0.6509693520344184
6,52,1,pain,6,high_cue,high_stim,6,7,6,high_stim,1.0009592915826746
7,52,1,pain,6,low_cue,low_stim,1,8,7,low_stim,0.3706171601714406
8,52,1,pain,6,low_cue,low_stim,1,9,8,low_stim,0.27597205873335484
9,52,1,pain,6,high_cue,low_stim,4,10,9,low_stim,0.009066542734156463
10,52,1,pain,6,high_cue,med_stim,5,11,10,med_stim,-0.77038243242483
11,52,1,pain,6,high_cue,high_stim,6,12,11,high_stim,-0.5774467318524981
