,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,59,1,pain,4,high_cue,low_stim,4,1,0,low_stim,-0.8962379001776044
1,59,1,pain,4,high_cue,high_stim,6,2,1,high_stim,1.0503563897664963
2,59,1,pain,4,high_cue,med_stim,5,3,2,med_stim,0.8431422479166294
3,59,1,pain,4,low_cue,low_stim,1,4,3,low_stim,0.21786748370917644
4,59,1,pain,4,high_cue,high_stim,6,5,4,high_stim,0.137281203901849
5,59,1,pain,4,high_cue,low_stim,4,6,5,low_stim,0.19075198332528026
6,59,1,pain,4,low_cue,med_stim,2,7,6,med_stim,-0.06281747466386549
7,59,1,pain,4,low_cue,high_stim,3,8,7,high_stim,0.06704558666845409
8,59,1,pain,4,low_cue,med_stim,2,9,8,med_stim,0.37021528271662674
9,59,1,pain,4,low_cue,low_stim,1,10,9,low_stim,-0.5519853804025241
10,59,1,pain,4,high_cue,med_stim,5,11,10,med_stim,-0.4565663065643219
11,59,1,pain,4,low_cue,high_stim,3,12,11,high_stim,-0.38942230358787966
